"assembly","election_date","all_votes","all_seats","candidate_party","candidates_fielded","seats_contested_share","seats_won","seats_won_share","win_rate","seats_second","mean_win_MOV_pct","mean_vote_share","party_votes","party_vote_share"
"National",2018-07-25,53072375,270,"Jamote Quami Movement",1,0.0037037037037037,0,0,0,0,NA,0.0250292863322793,3269,0.0000615951330612206
"National",2018-07-25,53072375,270,"Amun Taraqqi Party",13,0.0481481481481481,0,0,0,0,NA,0.00150520644660605,3646,0.0000686986403001562
"National",2018-07-25,53072375,270,"Tabdeeli Pasand Party (Pakistan)",3,0.0111111111111111,0,0,0,0,NA,0.00732990692960236,3698,0.0000696784344020783
"National",2018-07-25,53072375,270,"Balochistan National Movement",4,0.0148148148148148,0,0,0,0,NA,0.00773572947140912,3971,0.0000748223534371695
"National",2018-07-25,53072375,270,"Pakistan Tehreek-e-lnsaf (Gulalai)",8,0.0296296296296296,0,0,0,0,NA,0.0025803890067217,4146,0.0000781197374340229
"National",2018-07-25,53072375,270,"Tehreek Tabdili Nizam Pakistan",2,0.00740740740740741,0,0,0,0,NA,0.00918483370879655,4161,0.0000784023703480389
"National",2018-07-25,53072375,270,"Roshan Pakistan League",2,0.00740740740740741,0,0,0,0,NA,0.00811109191483879,4267,0.0000803996429404186
"National",2018-07-25,53072375,270,"Pakistan Awami Inqalab",2,0.00740740740740741,0,0,0,0,NA,0.0175641237312214,5046,0.000095077712274983
"National",2018-07-25,53072375,270,"Tehreek Jawanan Pakistan",7,0.0259259259259259,0,0,0,0,NA,0.00557437056944434,5841,0.000110057256717831
"National",2018-07-25,53072375,270,"Sunni Ittehad Council",2,0.00740740740740741,0,0,0,0,NA,0.0119148555249157,5939,0.000111903791756069
"National",2018-07-25,53072375,270,"Sunni Tehreek",12,0.0444444444444444,0,0,0,0,NA,0.00253827002776152,5952,0.000112148740281549
"National",2018-07-25,53072375,270,"Pakistan Saraiki Party",2,0.00740740740740741,0,0,0,0,NA,0.0139560035775889,6523,0.000122907633208425
"National",2018-07-25,53072375,270,"Pakistan Muslim Alliance",8,0.0296296296296296,0,0,0,0,NA,0.00558799268752669,6703,0.000126299228176617
"National",2018-07-25,53072375,270,"Pakistan Tehreek-e-lnsaf (Nazriati)",10,0.037037037037037,0,0,0,0,NA,0.00251794590520158,6755,0.000127279022278539
"National",2018-07-25,53072375,270,"Hazara Democratic Party",2,0.00740740740740741,0,0,0,0,NA,0.0527071462643077,7942,0.000149644706874339
"National",2018-07-25,53072375,270,"Pakistan Peoples Party (Shaheed Bhutto)",11,0.0407407407407407,0,0,0,0,NA,0.00645872575397693,10032,0.000189024892893902
"National",2018-07-25,53072375,270,"Pakistan Kissan Ittehad (Ch. Anwar)",11,0.0407407407407407,0,0,0,0,NA,0.00496221386960772,12255,0.000230911090751073
"National",2018-07-25,53072375,270,"Pakistan Justice and Democratic Party",20,0.0740740740740741,0,0,0,0,NA,0.00294803317668227,12635,0.000238071124572812
"National",2018-07-25,53072375,270,"Awami Workers Party",8,0.0296296296296296,0,0,0,0,NA,0.0137748563678529,17935,0.000337934754191799
"National",2018-07-25,53072375,270,"Majlis-e-Wahdat-e-Muslimeen Pakistan",7,0.0259259259259259,0,0,0,0,NA,0.0167222162708775,19597,0.000369250481064772
"National",2018-07-25,53072375,270,"Mohajir Qaumi Movement (Haqiqi)",12,0.0444444444444444,0,0,0,0,NA,0.0103190850662348,21487,0.000404862228230789
"National",2018-07-25,53072375,270,"Jamiat Ulema-e-Pakistan (Noorani)",5,0.0185185185185185,0,0,0,0,NA,0.030983149500098,22918,0.000431825408227915
"National",2018-07-25,53072375,270,"Jamiat Ulama-e-Islam (Sami)",11,0.0407407407407407,0,0,0,0,NA,0.0149388089260887,24581,0.000463159977295156
"National",2018-07-25,53072375,270,"Mutahidda Qabil Party",3,0.0111111111111111,0,0,0,0,NA,0.0756444451132701,28469,0.000536418428608104
"National",2018-07-25,53072375,270,"National Party",18,0.0666666666666667,0,0,0,0,NA,0.0179890755100359,33432,0.000629932238758865
"National",2018-07-25,53072375,270,"Pakistan Human Party",3,0.0111111111111111,0,0,0,0,NA,0.0410837859834437,34246,0.0006452697848928
"National",2018-07-25,53072375,270,"Jamiat Ulama-e-Islam Nazryati Pakistan",10,0.037037037037037,0,0,0,0,NA,0.0283249146009244,34247,0.000645288627087067
"National",2018-07-25,53072375,270,"All Pakistan Muslim League",46,0.17037037037037,0,0,0,0,NA,0.0041618068491754,35039,0.000660211644947112
"National",2018-07-25,53072375,270,"Pakistan National Muslim League",3,0.0111111111111111,0,0,0,0,NA,0.0477099695683485,35412,0.000667239783408977
"National",2018-07-25,53072375,270,"Tehreek-e-Labbaik Islam",22,0.0814814814814815,0,0,0,0,NA,0.0110713841194015,55152,0.00103918469825404
"National",2018-07-25,53072375,270,"Balochistan National Party (Awami)",9,0.0333333333333333,0,0,0,2,NA,0.064542699697087,55206,0.00104020217674449
"National",2018-07-25,53072375,270,"Pakistan Rah-e-Haq Party",23,0.0851851851851852,0,0,0,1,NA,0.0189386533400271,55222,0.00104050365185278
"National",2018-07-25,53072375,270,"Qaumi Watan Party",17,0.062962962962963,0,0,0,0,NA,0.0206524055197085,57249,0.00107869677963347
"National",2018-07-25,53072375,270,"Pakistan Muslim League (Functional)",1,0.0037037037037037,0,0,0,1,NA,0.298540073901558,72553,0.00136705772070686
"National",2018-07-25,53072375,270,"Pakistan Awami Raj",13,0.0481481481481481,0,0,0,1,NA,0.0450112575775613,115235,0.00217128025644226
"National",2018-07-25,53072375,270,"Pak Sarzameen Party",57,0.211111111111111,0,0,0,0,NA,0.0142404435304271,126054,0.00237513395622487
"National",2018-07-25,53072375,270,"Paktunkhwa Milli Awami Party",20,0.0740740740740741,0,0,0,2,NA,0.0630154284986331,134846,0.00254079452822678
"National",2018-07-25,53072375,270,"Sindh United Party",9,0.0333333333333333,0,0,0,2,NA,0.0744432379871765,139191,0.00262266386232009
"National",2018-07-25,53072375,270,"Allah-o-Akbar Tehreek",69,0.255555555555556,0,0,0,0,NA,0.0109667632154995,172085,0.00324245900056291
"National",2018-07-25,53072375,270,"Tehreek-e-Labbaik Pakistan",175,0.648148148148148,0,0,0,3,NA,0.0592174567554541,2234265,0.0420984551755975
