"election_date","election_type","contest_status","assembly","province","constituency_number","constituency_name","voter_reg","votes_cast","turnout","votes_disq","disq_pct","validated_votes","MOV_votes","MOV_pct","win_votes","win_pct","win_party","win_name","second_votes","second_pct","second_party","second_name","third_votes","third_pct","third_party","third_name","remainder_votes","remainder_pct","effective_parties","Cox_SF_ratio","winbuckets","delimit"
2018-07-25,"General Election","Contested","National","Punjab","NA-105","Faisalabad-V",440419,249636,0.566814783195094,9135,0.0365932798154112,240501,8651,0.0359707444043892,77862,0.32374917360011,"Pakistan Tehreek-e-Insaf","Raza Nasrullah",69211,0.287778429195721,"Independents","Muhammad Masood Nazir",56540,0.23509257757764,"Pakistan Muslim League (Nawaz)","Mian Muhammad Farooq",36888,0.15337981962653,4.0139484303213,0.816922165551719,"Pakistan Tehreek-e-Insaf","Delimitation 2018"
2018-07-25,"General Election","Contested","National","Punjab","NA-106","Faisalabad-VI",415496,244816,0.589213855247704,5375,0.0219552643618064,239441,2520,0.0105245133456676,106319,0.444030053332554,"Pakistan Muslim League (Nawaz)","Rana Sana Ullah Khan",103799,0.433505539986886,"Pakistan Tehreek-e-Insaf","Nisar Ahmad",12799,0.053453669171111,"Pakistan Peoples Party Parliamentarians","Saeed Iqbal",16524,0.0690107375094491,2.56466524859803,0.123305619514639,"Pakistan Muslim League (Nawaz)","Delimitation 2018"
2018-07-25,"General Election","Contested","National","Punjab","NA-108","Faisalabad-VIII",434583,247759,0.570107436324016,5177,0.0208953055186694,242582,1211,0.00499212637376228,112740,0.46475006389592,"Pakistan Tehreek-e-Insaf","FARRUKH HABIB",111529,0.459757937522157,"Pakistan Muslim League (Nawaz)","ABID SHER ALI",8075,0.0332877130207517,"Tehreek-e-Labbaik Pakistan","SHAHBAZ ALI GULZAR",10238,0.0422042855611711,2.33064850802975,0.0724026934698599,"Pakistan Tehreek-e-Insaf","Delimitation 2018"
2018-07-25,"General Election","Contested","National","Punjab","NA-112","Toba Tek Singh-II",469863,278234,0.592159842337022,5483,0.0197064341525479,272751,4272,0.0156626373505505,125303,0.459404365153565,"Pakistan Muslim League (Nawaz)","MUHAMMAD JUNAID ANWAR CHAUDHRY",121031,0.443741727803014,"Pakistan Tehreek-e-Insaf","MUHAMMAD ASHFAQ",6463,0.0236956051490187,"Independents","khawar ahmed khan",19954,0.0731583018944019,2.44180227109196,0.053399542266031,"Pakistan Muslim League (Nawaz)","Delimitation 2018"
2018-07-25,"General Election","Contested","National","Punjab","NA-114","Jhang-I",492782,307719,0.624452597700403,12970,0.0421488435878188,294749,589,0.00199831042683779,106043,0.35977390932624,"Pakistan Tehreek-e-Insaf","SAHIBZADA MUHAMMAD MEHBOOB SULTAN",105454,0.357775598899403,"Pakistan Peoples Party Parliamentarians","MAKHDOOM SYED FAISAL SALEH HAYAT",65440,0.22201941312778,"Independents","ALEESHA IFTIKHAR",17812,0.0604310786465773,3.24597966166941,0.620554933904831,"Pakistan Tehreek-e-Insaf","Delimitation 2018"
2018-07-25,"General Election","Contested","National","Punjab","NA-117","Nankana Sahib-I",411484,240326,0.58404701033333,6456,0.0268635103983755,233870,2896,0.0123829477915081,71891,0.307397271988712,"Pakistan Muslim League (Nawaz)","CH MUHAMMAD BARJEES TAHIR",68995,0.295014324197204,"Independents","TARIQ MEHMOOD BAJWA",66994,0.286458288792919,"Pakistan Tehreek-e-Insaf","ch bilal ahmed virk",25990,0.111130115021166,3.69254197678066,0.970997898398435,"Pakistan Muslim League (Nawaz)","Delimitation 2018"
2018-07-25,"General Election","Contested","National","Punjab","NA-118","Nankana Sahib-II",371715,217959,0.586360518138897,9257,0.0424712904720613,208702,2405,0.0115236078235953,63818,0.305785282364328,"Pakistan Tehreek-e-Insaf","Ijaz Ahmad Shah",61413,0.294261674540733,"Pakistan Muslim League (Nawaz)","Shezra Mansab Ali Khan Kharal",49345,0.236437600022999,"Tehreek-e-Labbaik Pakistan","Syed Afzaal Hussain Rizvi",34126,0.16351544307194,4.06948637283618,0.803494374155309,"Pakistan Tehreek-e-Insaf","Delimitation 2018"
2018-07-25,"General Election","Contested","National","Punjab","NA-131","Lahore-IX",364213,192546,0.528663172374407,3835,0.0199173184589657,188711,680,0.00360339354886574,84313,0.446783706302229,"Pakistan Tehreek-e-Insaf","Imran Ahmed Khan Niazi",83633,0.443180312753364,"Pakistan Muslim League (Nawaz)","Khawaja Saad Rafique",9780,0.0518252778057453,"Tehreek-e-Labbaik Pakistan","Syed Murtaza Hassan",10985,0.0582107031386618,2.49927842758895,0.116939485609747,"Pakistan Tehreek-e-Insaf","Delimitation 2018"
2018-07-25,"General Election","Contested","National","Punjab","NA-139","Kasur-III",477465,326018,0.682810258343543,8970,0.0275138182554337,317048,8874,0.0279894527011683,121767,0.384064873457647,"Pakistan Muslim League (Nawaz)","RANA MUHAMMAD ISHAQ KHAN",112893,0.356075420756479,"Pakistan Tehreek-e-Insaf","AZEEM UD DIN ZAHID",40352,0.127274103605763,"Independents","SARDAR MUHAMAD ATIF NAKAI",42036,0.132585602180112,3.39773199840979,0.357435802042642,"Pakistan Muslim League (Nawaz)","Delimitation 2018"
2018-07-25,"General Election","Contested","National","Punjab","NA-140","Kasur-IV",477211,289434,0.606511585022139,7453,0.0257502573989234,281981,236,0.000836935821917129,124621,0.441948216369188,"Pakistan Tehreek-e-Insaf","SARDAR TALIB HASSAN NAKAI",124385,0.441111280547271,"Pakistan Muslim League (Nawaz)","RANA MUHAMMAD HAYAT KHAN",15500,0.0549682425411641,"Tehreek-e-Labbaik Pakistan","RANA TANVEER RIAZ KHAN",17475,0.061972260542377,2.53992348424895,0.124613096434458,"Pakistan Tehreek-e-Insaf","Delimitation 2018"
